Notes,State of Residence,County of Residence,Year,Births,% of Total Births
,Iowa,"Unidentified Counties, IA",2019,21408,0.14%
Total,Iowa,"Unidentified Counties, IA",,87015,0.57%
Total,Iowa,,,153267,1.00%
,Kansas,"Douglas County, KS",2016,1177,0.01%
,Kansas,"Douglas County, KS",2017,1134,0.01%
,Kansas,"Douglas County, KS",2018,1116,0.01%
,Kansas,"Douglas County, KS",2019,1090,0.01%
Total,Kansas,"Douglas County, KS",,4517,0.03%
,Kansas,"Johnson County, KS",2016,7360,0.05%
,Kansas,"Johnson County, KS",2017,7223,0.05%
,Kansas,"Johnson County, KS",2018,7140,0.05%
,Kansas,"Johnson County, KS",2019,6948,0.05%
Total,Kansas,"Johnson County, KS",,28671,0.19%
,Kansas,"Sedgwick County, KS",2016,7309,0.05%
,Kansas,"Sedgwick County, KS",2017,6924,0.05%
,Kansas,"Sedgwick County, KS",2018,6733,0.04%
,Kansas,"Sedgwick County, KS",2019,6737,0.04%
Total,Kansas,"Sedgwick County, KS",,27703,0.18%
,Kansas,"Shawnee County, KS",2016,2189,0.01%
,Kansas,"Shawnee County, KS",2017,2074,0.01%
,Kansas,"Shawnee County, KS",2018,2123,0.01%
,Kansas,"Shawnee County, KS",2019,2112,0.01%
Total,Kansas,"Shawnee County, KS",,8498,0.06%
,Kansas,"Wyandotte County, KS",2016,2695,0.02%
,Kansas,"Wyandotte County, KS",2017,2541,0.02%
,Kansas,"Wyandotte County, KS",2018,2614,0.02%
,Kansas,"Wyandotte County, KS",2019,2610,0.02%
Total,Kansas,"Wyandotte County, KS",,10460,0.07%
,Kansas,"Unidentified Counties, KS",2016,17323,0.11%
,Kansas,"Unidentified Counties, KS",2017,16623,0.11%
,Kansas,"Unidentified Counties, KS",2018,16535,0.11%
,Kansas,"Unidentified Counties, KS",2019,15898,0.10%
Total,Kansas,"Unidentified Counties, KS",,66379,0.43%
Total,Kansas,,,146228,0.95%
,Kentucky,"Boone County, KY",2016,1681,0.01%
,Kentucky,"Boone County, KY",2017,1716,0.01%
,Kentucky,"Boone County, KY",2018,1695,0.01%
,Kentucky,"Boone County, KY",2019,1664,0.01%
Total,Kentucky,"Boone County, KY",,6756,0.04%
,Kentucky,"Fayette County, KY",2016,4090,0.03%
,Kentucky,"Fayette County, KY",2017,3912,0.03%
,Kentucky,"Fayette County, KY",2018,3921,0.03%
,Kentucky,"Fayette County, KY",2019,3829,0.02%
Total,Kentucky,"Fayette County, KY",,15752,0.10%
,Kentucky,"Hardin County, KY",2016,1441,0.01%
,Kentucky,"Hardin County, KY",2017,1449,0.01%
,Kentucky,"Hardin County, KY",2018,1431,0.01%
,Kentucky,"Hardin County, KY",2019,1342,0.01%
Total,Kentucky,"Hardin County, KY",,5663,0.04%
,Kentucky,"Jefferson County, KY",2016,9889,0.06%
,Kentucky,"Jefferson County, KY",2017,9908,0.06%
,Kentucky,"Jefferson County, KY",2018,9584,0.06%
,Kentucky,"Jefferson County, KY",2019,9560,0.06%
Total,Kentucky,"Jefferson County, KY",,38941,0.25%
,Kentucky,"Kenton County, KY",2016,2329,0.02%
,Kentucky,"Kenton County, KY",2017,2331,0.02%
,Kentucky,"Kenton County, KY",2018,2191,0.01%
,Kentucky,"Kenton County, KY",2019,2205,0.01%
Total,Kentucky,"Kenton County, KY",,9056,0.06%
,Kentucky,"Warren County, KY",2016,1640,0.01%
,Kentucky,"Warren County, KY",2017,1714,0.01%
,Kentucky,"Warren County, KY",2018,1732,0.01%
,Kentucky,"Warren County, KY",2019,1738,0.01%
Total,Kentucky,"Warren County, KY",,6824,0.04%
,Kentucky,"Unidentified Counties, KY",2016,34379,0.22%
,Kentucky,"Unidentified Counties, KY",2017,33722,0.22%
,Kentucky,"Unidentified Counties, KY",2018,33368,0.22%
,Kentucky,"Unidentified Counties, KY",2019,32731,0.21%
Total,Kentucky,"Unidentified Counties, KY",,134200,0.87%
Total,Kentucky,,,217192,1.42%
,Louisiana,"Ascension Parish, LA",2016,1751,0.01%
,Louisiana,"Ascension Parish, LA",2017,1704,0.01%
,Louisiana,"Ascension Parish, LA",2018,1687,0.01%
,Louisiana,"Ascension Parish, LA",2019,1656,0.01%
Total,Louisiana,"Ascension Parish, LA",,6798,0.04%
,Louisiana,"Bossier Parish, LA",2016,1751,0.01%
,Louisiana,"Bossier Parish, LA",2017,1627,0.01%
,Louisiana,"Bossier Parish, LA",2018,1693,0.01%
,Louisiana,"Bossier Parish, LA",2019,1654,0.01%
Total,Louisiana,"Bossier Parish, LA",,6725,0.04%
,Louisiana,"Caddo Parish, LA",2016,3364,0.02%
,Louisiana,"Caddo Parish, LA",2017,3231,0.02%
,Louisiana,"Caddo Parish, LA",2018,3072,0.02%
,Louisiana,"Caddo Parish, LA",2019,3151,0.02%
Total,Louisiana,"Caddo Parish, LA",,12818,0.08%
,Louisiana,"Calcasieu Parish, LA",2016,3034,0.02%
,Louisiana,"Calcasieu Parish, LA",2017,2987,0.02%
,Louisiana,"Calcasieu Parish, LA",2018,3057,0.02%
,Louisiana,"Calcasieu Parish, LA",2019,2970,0.02%
Total,Louisiana,"Calcasieu Parish, LA",,12048,0.08%
,Louisiana,"East Baton Rouge Parish, LA",2016,6125,0.04%
,Louisiana,"East Baton Rouge Parish, LA",2017,5975,0.04%
,Louisiana,"East Baton Rouge Parish, LA",2018,5780,0.04%
,Louisiana,"East Baton Rouge Parish, LA",2019,5730,0.04%
Total,Louisiana,"East Baton Rouge Parish, LA",,23610,0.15%
,Louisiana,"Jefferson Parish, LA",2016,5887,0.04%
,Louisiana,"Jefferson Parish, LA",2017,5835,0.04%
,Louisiana,"Jefferson Parish, LA",2018,5649,0.04%
,Louisiana,"Jefferson Parish, LA",2019,5755,0.04%
Total,Louisiana,"Jefferson Parish, LA",,23126,0.15%
,Louisiana,"Lafayette Parish, LA",2016,3369,0.02%
,Louisiana,"Lafayette Parish, LA",2017,3339,0.02%
,Louisiana,"Lafayette Parish, LA",2018,3242,0.02%
,Louisiana,"Lafayette Parish, LA",2019,3203,0.02%
Total,Louisiana,"Lafayette Parish, LA",,13153,0.09%
,Louisiana,"Livingston Parish, LA",2016,1921,0.01%
,Louisiana,"Livingston Parish, LA",2017,1828,0.01%
,Louisiana,"Livingston Parish, LA",2018,1771,0.01%
,Louisiana,"Livingston Parish, LA",2019,1765,0.01%
Total,Louisiana,"Livingston Parish, LA",,7285,0.05%
,Louisiana,"Orleans Parish, LA",2016,4835,0.03%
,Louisiana,"Orleans Parish, LA",2017,4619,0.03%
,Louisiana,"Orleans Parish, LA",2018,4656,0.03%
,Louisiana,"Orleans Parish, LA",2019,4664,0.03%
Total,Louisiana,"Orleans Parish, LA",,18774,0.12%
,Louisiana,"Ouachita Parish, LA",2016,2224,0.01%
,Louisiana,"Ouachita Parish, LA",2017,2152,0.01%
,Louisiana,"Ouachita Parish, LA",2018,2063,0.01%
,Louisiana,"Ouachita Parish, LA",2019,2052,0.01%
Total,Louisiana,"Ouachita Parish, LA",,8491,0.06%
,Louisiana,"Rapides Parish, LA",2016,1840,0.01%
,Louisiana,"Rapides Parish, LA",2017,1724,0.01%
,Louisiana,"Rapides Parish, LA",2018,1717,0.01%
,Louisiana,"Rapides Parish, LA",2019,1638,0.01%
Total,Louisiana,"Rapides Parish, LA",,6919,0.05%
,Louisiana,"St. Tammany Parish, LA",2016,3089,0.02%
,Louisiana,"St. Tammany Parish, LA",2017,2865,0.02%
,Louisiana,"St. Tammany Parish, LA",2018,2932,0.02%
,Louisiana,"St. Tammany Parish, LA",2019,2859,0.02%
Total,Louisiana,"St. Tammany Parish, LA",,11745,0.08%
,Louisiana,"Tangipahoa Parish, LA",2016,1984,0.01%
,Louisiana,"Tangipahoa Parish, LA",2017,1986,0.01%
,Louisiana,"Tangipahoa Parish, LA",2018,1916,0.01%
,Louisiana,"Tangipahoa Parish, LA",2019,1882,0.01%
Total,Louisiana,"Tangipahoa Parish, LA",,7768,0.05%
,Louisiana,"Terrebonne Parish, LA",2016,1570,0.01%
,Louisiana,"Terrebonne Parish, LA",2017,1544,0.01%
,Louisiana,"Terrebonne Parish, LA",2018,1506,0.01%
,Louisiana,"Terrebonne Parish, LA",2019,1373,0.01%
Total,Louisiana,"Terrebonne Parish, LA",,5993,0.04%
,Louisiana,"Unidentified Counties, LA",2016,20434,0.13%
,Louisiana,"Unidentified Counties, LA",2017,19602,0.13%
,Louisiana,"Unidentified Counties, LA",2018,18874,0.12%
,Louisiana,"Unidentified Counties, LA",2019,18589,0.12%
Total,Louisiana,"Unidentified Counties, LA",,77499,0.51%
Total,Louisiana,,,242752,1.58%
,Maine,"Androscoggin County, ME",2016,1247,0.01%
,Maine,"Androscoggin County, ME",2017,1241,0.01%
,Maine,"Androscoggin County, ME",2018,1240,0.01%
,Maine,"Androscoggin County, ME",2019,1162,0.01%
Total,Maine,"Androscoggin County, ME",,4890,0.03%
,Maine,"Cumberland County, ME",2016,2830,0.02%
,Maine,"Cumberland County, ME",2017,2733,0.02%
,Maine,"Cumberland County, ME",2018,2717,0.02%
,Maine,"Cumberland County, ME",2019,2680,0.02%
Total,Maine,"Cumberland County, ME",,10960,0.07%
,Maine,"Kennebec County, ME",2016,1164,0.01%
,Maine,"Kennebec County, ME",2017,1132,0.01%
,Maine,"Kennebec County, ME",2018,1161,0.01%
,Maine,"Kennebec County, ME",2019,1109,0.01%
Total,Maine,"Kennebec County, ME",,4566,0.03%
,Maine,"Penobscot County, ME",2016,1483,0.01%
,Maine,"Penobscot County, ME",2017,1433,0.01%
,Maine,"Penobscot County, ME",2018,1376,0.01%
,Maine,"Penobscot County, ME",2019,1247,0.01%
Total,Maine,"Penobscot County, ME",,5539,0.04%
,Maine,"York County, ME",2016,1898,0.01%
,Maine,"York County, ME",2017,1812,0.01%
,Maine,"York County, ME",2018,1865,0.01%
,Maine,"York County, ME",2019,1794,0.01%
Total,Maine,"York County, ME",,7369,0.05%
,Maine,"Unidentified Counties, ME",2016,4083,0.03%
,Maine,"Unidentified Counties, ME",2017,3947,0.03%
,Maine,"Unidentified Counties, ME",2018,3952,0.03%
,Maine,"Unidentified Counties, ME",2019,3787,0.02%
Total,Maine,"Unidentified Counties, ME",,15769,0.10%
Total,Maine,,,49093,0.32%
,Maryland,"Anne Arundel County, MD",2016,6967,0.05%
,Maryland,"Anne Arundel County, MD",2017,6898,0.04%
,Maryland,"Anne Arundel County, MD",2018,6781,0.04%
,Maryland,"Anne Arundel County, MD",2019,6821,0.04%
Total,Maryland,"Anne Arundel County, MD",,27467,0.18%
,Maryland,"Baltimore County, MD",2016,9838,0.06%
,Maryland,"Baltimore County, MD",2017,9844,0.06%
,Maryland,"Baltimore County, MD",2018,9787,0.06%
,Maryland,"Baltimore County, MD",2019,9625,0.06%
Total,Maryland,"Baltimore County, MD",,39094,0.25%
,Maryland,"Carroll County, MD",2016,1737,0.01%
,Maryland,"Carroll County, MD",2017,1570,0.01%
,Maryland,"Carroll County, MD",2018,1776,0.01%
,Maryland,"Carroll County, MD",2019,1653,0.01%
Total,Maryland,"Carroll County, MD",,6736,0.04%
,Maryland,"Cecil County, MD",2016,1106,0.01%
,Maryland,"Cecil County, MD",2017,1145,0.01%
,Maryland,"Cecil County, MD",2018,1155,0.01%
,Maryland,"Cecil County, MD",2019,1166,0.01%
Total,Maryland,"Cecil County, MD",,4572,0.03%
,Maryland,"Charles County, MD",2016,1812,0.01%
,Maryland,"Charles County, MD",2017,1842,0.01%
,Maryland,"Charles County, MD",2018,1863,0.01%
,Maryland,"Charles County, MD",2019,1873,0.01%
Total,Maryland,"Charles County, MD",,7390,0.05%
,Maryland,"Frederick County, MD",2016,2839,0.02%
,Maryland,"Frederick County, MD",2017,2721,0.02%
,Maryland,"Frederick County, MD",2018,2969,0.02%
,Maryland,"Frederick County, MD",2019,2934,0.02%
Total,Maryland,"Frederick County, MD",,11463,0.07%
,Maryland,"Harford County, MD",2016,2699,0.02%
,Maryland,"Harford County, MD",2017,2624,0.02%
,Maryland,"Harford County, MD",2018,2638,0.02%
,Maryland,"Harford County, MD",2019,2689,0.02%
Total,Maryland,"Harford County, MD",,10650,0.07%
,Maryland,"Howard County, MD",2016,3569,0.02%
,Maryland,"Howard County, MD",2017,3528,0.02%
,Maryland,"Howard County, MD",2018,3405,0.02%
,Maryland,"Howard County, MD",2019,3351,0.02%
Total,Maryland,"Howard County, MD",,13853,0.09%
,Maryland,"Montgomery County, MD",2016,13123,0.09%
,Maryland,"Montgomery County, MD",2017,12681,0.08%
,Maryland,"Montgomery County, MD",2018,12401,0.08%
,Maryland,"Montgomery County, MD",2019,12064,0.08%
Total,Maryland,"Montgomery County, MD",,50269,0.33%
,Maryland,"Prince George's County, MD",2016,12296,0.08%
,Maryland,"Prince George's County, MD",2017,12393,0.08%
,Maryland,"Prince George's County, MD",2018,12159,0.08%
,Maryland,"Prince George's County, MD",2019,11803,0.08%
Total,Maryland,"Prince George's County, MD",,48651,0.32%
,Maryland,"St. Mary's County, MD",2016,1425,0.01%
,Maryland,"St. Mary's County, MD",2017,1352,0.01%
,Maryland,"St. Mary's County, MD",2018,1328,0.01%
,Maryland,"St. Mary's County, MD",2019,1369,0.01%
Total,Maryland,"St. Mary's County, MD",,5474,0.04%
,Maryland,"Washington County, MD",2016,1694,0.01%
,Maryland,"Washington County, MD",2017,1638,0.01%
,Maryland,"Washington County, MD",2018,1686,0.01%
,Maryland,"Washington County, MD",2019,1657,0.01%
Total,Maryland,"Washington County, MD",,6675,0.04%
,Maryland,"Baltimore city, MD",2016,8504,0.06%
,Maryland,"Baltimore city, MD",2017,7941,0.05%
,Maryland,"Baltimore city, MD",2018,7681,0.05%
,Maryland,"Baltimore city, MD",2019,7707,0.05%
Total,Maryland,"Baltimore city, MD",,31833,0.21%
,Maryland,"Unidentified Counties, MD",2016,5527,0.04%
,Maryland,"Unidentified Counties, MD",2017,5464,0.04%
,Maryland,"Unidentified Counties, MD",2018,5451,0.04%
,Maryland,"Unidentified Counties, MD",2019,5466,0.04%
Total,Maryland,"Unidentified Counties, MD",,21908,0.14%
Total,Maryland,,,286035,1.86%
,Massachusetts,"Barnstable County, MA",2016,1601,0.01%
,Massachusetts,"Barnstable County, MA",2017,1546,0.01%
,Massachusetts,"Barnstable County, MA",2018,1496,0.01%
,Massachusetts,"Barnstable County, MA",2019,1474,0.01%
Total,Massachusetts,"Barnstable County, MA",,6117,0.04%
,Massachusetts,"Berkshire County, MA",2016,1027,0.01%
,Massachusetts,"Berkshire County, MA",2017,993,0.01%
,Massachusetts,"Berkshire County, MA",2018,1002,0.01%
,Massachusetts,"Berkshire County, MA",2019,887,0.01%
Total,Massachusetts,"Berkshire County, MA",,3909,0.03%
,Massachusetts,"Bristol County, MA",2016,5643,0.04%
,Massachusetts,"Bristol County, MA",2017,5733,0.04%
,Massachusetts,"Bristol County, MA",2018,5487,0.04%
,Massachusetts,"Bristol County, MA",2019,5548,0.04%
Total,Massachusetts,"Bristol County, MA",,22411,0.15%
,Massachusetts,"Essex County, MA",2016,8386,0.05%
,Massachusetts,"Essex County, MA",2017,8655,0.06%
,Massachusetts,"Essex County, MA",2018,8377,0.05%
,Massachusetts,"Essex County, MA",2019,8492,0.06%
Total,Massachusetts,"Essex County, MA",,33910,0.22%
,Massachusetts,"Hampden County, MA",2016,4956,0.03%
,Massachusetts,"Hampden County, MA",2017,4975,0.03%
,Massachusetts,"Hampden County, MA",2018,4926,0.03%
,Massachusetts,"Hampden County, MA",2019,4777,0.03%
Total,Massachusetts,"Hampden County, MA",,19634,0.13%
,Massachusetts,"Hampshire County, MA",2016,1009,0.01%
,Massachusetts,"Hampshire County, MA",2017,1003,0.01%
,Massachusetts,"Hampshire County, MA",2018,948,0.01%
,Massachusetts,"Hampshire County, MA",2019,982,0.01%
Total,Massachusetts,"Hampshire County, MA",,3942,0.03%
,Massachusetts,"Middlesex County, MA",2016,17198,0.11%
,Massachusetts,"Middlesex County, MA",2017,16736,0.11%
,Massachusetts,"Middlesex County, MA",2018,16603,0.11%
,Massachusetts,"Middlesex County, MA",2019,16324,0.11%
Total,Massachusetts,"Middlesex County, MA",,66861,0.44%
,Massachusetts,"Norfolk County, MA",2016,7341,0.05%
,Massachusetts,"Norfolk County, MA",2017,7134,0.05%
,Massachusetts,"Norfolk County, MA",2018,7033,0.05%
,Massachusetts,"Norfolk County, MA",2019,7258,0.05%
Total,Massachusetts,"Norfolk County, MA",,28766,0.19%
,Massachusetts,"Plymouth County, MA",2016,5135,0.03%
,Massachusetts,"Plymouth County, MA",2017,5189,0.03%
,Massachusetts,"Plymouth County, MA",2018,5028,0.03%
,Massachusetts,"Plymouth County, MA",2019,5232,0.03%
Total,Massachusetts,"Plymouth County, MA",,20584,0.13%
,Massachusetts,"Suffolk County, MA",2016,9384,0.06%
,Massachusetts,"Suffolk County, MA",2017,9359,0.06%
,Massachusetts,"Suffolk County, MA",2018,9072,0.06%
,Massachusetts,"Suffolk County, MA",2019,8792,0.06%
Total,Massachusetts,"Suffolk County, MA",,36607,0.24%
,Massachusetts,"Worcester County, MA",2016,8678,0.06%
,Massachusetts,"Worcester County, MA",2017,8513,0.06%
,Massachusetts,"Worcester County, MA",2018,8335,0.05%
,Massachusetts,"Worcester County, MA",2019,8491,0.06%
Total,Massachusetts,"Worcester County, MA",,34017,0.22%
,Massachusetts,"Unidentified Counties, MA",2016,959,0.01%
,Massachusetts,"Unidentified Counties, MA",2017,866,0.01%
,Massachusetts,"Unidentified Counties, MA",2018,802,0.01%
,Massachusetts,"Unidentified Counties, MA",2019,860,0.01%
Total,Massachusetts,"Unidentified Counties, MA",,3487,0.02%
Total,Massachusetts,,,280245,1.83%
,Michigan,"Allegan County, MI",2016,1364,0.01%
,Michigan,"Allegan County, MI",2017,1306,0.01%
,Michigan,"Allegan County, MI",2018,1416,0.01%
,Michigan,"Allegan County, MI",2019,1305,0.01%
Total,Michigan,"Allegan County, MI",,5391,0.04%
,Michigan,"Bay County, MI",2016,1061,0.01%
,Michigan,"Bay County, MI",2017,1009,0.01%
,Michigan,"Bay County, MI",2018,947,0.01%
,Michigan,"Bay County, MI",2019,925,0.01%
Total,Michigan,"Bay County, MI",,3942,0.03%
,Michigan,"Berrien County, MI",2016,1720,0.01%
,Michigan,"Berrien County, MI",2017,1737,0.01%
,Michigan,"Berrien County, MI",2018,1674,0.01%
,Michigan,"Berrien County, MI",2019,1611,0.01%
Total,Michigan,"Berrien County, MI",,6742,0.04%
,Michigan,"Calhoun County, MI",2016,1660,0.01%
,Michigan,"Calhoun County, MI",2017,1535,0.01%
,Michigan,"Calhoun County, MI",2018,1537,0.01%
,Michigan,"Calhoun County, MI",2019,1471,0.01%
Total,Michigan,"Calhoun County, MI",,6203,0.04%
,Michigan,"Eaton County, MI",2016,1139,0.01%
,Michigan,"Eaton County, MI",2017,1097,0.01%
,Michigan,"Eaton County, MI",2018,1106,0.01%
,Michigan,"Eaton County, MI",2019,1094,0.01%
Total,Michigan,"Eaton County, MI",,4436,0.03%
,Michigan,"Genesee County, MI",2016,4819,0.03%
,Michigan,"Genesee County, MI",2017,4739,0.03%
,Michigan,"Genesee County, MI",2018,4558,0.03%
,Michigan,"Genesee County, MI",2019,4582,0.03%
Total,Michigan,"Genesee County, MI",,18698,0.12%
,Michigan,"Ingham County, MI",2016,3414,0.02%
,Michigan,"Ingham County, MI",2017,3237,0.02%
,Michigan,"Ingham County, MI",2018,3049,0.02%
,Michigan,"Ingham County, MI",2019,3056,0.02%
Total,Michigan,"Ingham County, MI",,12756,0.08%
,Michigan,"Jackson County, MI",2016,1778,0.01%
,Michigan,"Jackson County, MI",2017,1772,0.01%
,Michigan,"Jackson County, MI",2018,1741,0.01%
,Michigan,"Jackson County, MI",2019,1661,0.01%
Total,Michigan,"Jackson County, MI",,6952,0.05%
,Michigan,"Kalamazoo County, MI",2016,3163,0.02%
,Michigan,"Kalamazoo County, MI",2017,3033,0.02%
,Michigan,"Kalamazoo County, MI",2018,3074,0.02%
,Michigan,"Kalamazoo County, MI",2019,2991,0.02%
Total,Michigan,"Kalamazoo County, MI",,12261,0.08%
,Michigan,"Kent County, MI",2016,8811,0.06%
,Michigan,"Kent County, MI",2017,8697,0.06%
,Michigan,"Kent County, MI",2018,8648,0.06%
,Michigan,"Kent County, MI",2019,8174,0.05%
Total,Michigan,"Kent County, MI",,34330,0.22%
,Michigan,"Livingston County, MI",2016,1783,0.01%
,Michigan,"Livingston County, MI",2017,1764,0.01%
,Michigan,"Livingston County, MI",2018,1704,0.01%
,Michigan,"Livingston County, MI",2019,1769,0.01%
Total,Michigan,"Livingston County, MI",,7020,0.05%
,Michigan,"Macomb County, MI",2016,9416,0.06%
,Michigan,"Macomb County, MI",2017,9240,0.06%
,Michigan,"Macomb County, MI",2018,9171,0.06%
,Michigan,"Macomb County, MI",2019,9118,0.06%
Total,Michigan,"Macomb County, MI",,36945,0.24%
,Michigan,"Monroe County, MI",2016,1526,0.01%
,Michigan,"Monroe County, MI",2017,1482,0.01%
,Michigan,"Monroe County, MI",2018,1468,0.01%
,Michigan,"Monroe County, MI",2019,1514,0.01%
Total,Michigan,"Monroe County, MI",,5990,0.04%
,Michigan,"Muskegon County, MI",2016,2127,0.01%
,Michigan,"Muskegon County, MI",2017,2125,0.01%
,Michigan,"Muskegon County, MI",2018,2051,0.01%
,Michigan,"Muskegon County, MI",2019,1955,0.01%
Total,Michigan,"Muskegon County, MI",,8258,0.05%
,Michigan,"Oakland County, MI",2016,13665,0.09%
,Michigan,"Oakland County, MI",2017,13235,0.09%
,Michigan,"Oakland County, MI",2018,13182,0.09%
,Michigan,"Oakland County, MI",2019,12899,0.08%
Total,Michigan,"Oakland County, MI",,52981,0.35%
,Michigan,"Ottawa County, MI",2016,3441,0.02%
,Michigan,"Ottawa County, MI",2017,3264,0.02%
,Michigan,"Ottawa County, MI",2018,3138,0.02%
,Michigan,"Ottawa County, MI",2019,3226,0.02%
Total,Michigan,"Ottawa County, MI",,13069,0.09%
,Michigan,"Saginaw County, MI",2016,2190,0.01%
,Michigan,"Saginaw County, MI",2017,2244,0.01%
,Michigan,"Saginaw County, MI",2018,2182,0.01%
,Michigan,"Saginaw County, MI",2019,2117,0.01%
Total,Michigan,"Saginaw County, MI",,8733,0.06%
,Michigan,"St. Clair County, MI",2016,1589,0.01%
,Michigan,"St. Clair County, MI",2017,1462,0.01%
,Michigan,"St. Clair County, MI",2018,1543,0.01%
,Michigan,"St. Clair County, MI",2019,1529,0.01%
Total,Michigan,"St. Clair County, MI",,6123,0.04%
,Michigan,"Washtenaw County, MI",2016,3692,0.02%
,Michigan,"Washtenaw County, MI",2017,3536,0.02%
,Michigan,"Washtenaw County, MI",2018,3527,0.02%
,Michigan,"Washtenaw County, MI",2019,3558,0.02%
Total,Michigan,"Washtenaw County, MI",,14313,0.09%
,Michigan,"Wayne County, MI",2016,23149,0.15%
,Michigan,"Wayne County, MI",2017,23279,0.15%
,Michigan,"Wayne County, MI",2018,22910,0.15%
,Michigan,"Wayne County, MI",2019,22559,0.15%
Total,Michigan,"Wayne County, MI",,91897,0.60%
,Michigan,"Unidentified Counties, MI",2016,21808,0.14%
,Michigan,"Unidentified Counties, MI",2017,21633,0.14%
,Michigan,"Unidentified Counties, MI",2018,21406,0.14%
,Michigan,"Unidentified Counties, MI",2019,20772,0.14%
Total,Michigan,"Unidentified Counties, MI",,85619,0.56%
Total,Michigan,,,442659,2.89%
,Minnesota,"Anoka County, MN",2016,4223,0.03%
,Minnesota,"Anoka County, MN",2017,4215,0.03%
,Minnesota,"Anoka County, MN",2018,4241,0.03%
,Minnesota,"Anoka County, MN",2019,4186,0.03%
Total,Minnesota,"Anoka County, MN",,16865,0.11%
,Minnesota,"Dakota County, MN",2016,5291,0.03%
,Minnesota,"Dakota County, MN",2017,5147,0.03%
,Minnesota,"Dakota County, MN",2018,5140,0.03%
,Minnesota,"Dakota County, MN",2019,5177,0.03%
Total,Minnesota,"Dakota County, MN",,20755,0.14%
,Minnesota,"Hennepin County, MN",2016,16495,0.11%
,Minnesota,"Hennepin County, MN",2017,16322,0.11%
,Minnesota,"Hennepin County, MN",2018,15845,0.10%
,Minnesota,"Hennepin County, MN",2019,15431,0.10%
Total,Minnesota,"Hennepin County, MN",,64093,0.42%
,Minnesota,"Olmsted County, MN",2016,2122,0.01%
,Minnesota,"Olmsted County, MN",2017,2113,0.01%
,Minnesota,"Olmsted County, MN",2018,2035,0.01%
,Minnesota,"Olmsted County, MN",2019,2029,0.01%
Total,Minnesota,"Olmsted County, MN",,8299,0.05%
,Minnesota,"Ramsey County, MN",2016,7731,0.05%
,Minnesota,"Ramsey County, MN",2017,7686,0.05%
,Minnesota,"Ramsey County, MN",2018,7517,0.05%
,Minnesota,"Ramsey County, MN",2019,7158,0.05%
Total,Minnesota,"Ramsey County, MN",,30092,0.20%
,Minnesota,"St. Louis County, MN",2016,1976,0.01%
,Minnesota,"St. Louis County, MN",2017,1989,0.01%
,Minnesota,"St. Louis County, MN",2018,1813,0.01%
,Minnesota,"St. Louis County, MN",2019,1901,0.01%
Total,Minnesota,"St. Louis County, MN",,7679,0.05%
,Minnesota,"Scott County, MN",2016,1893,0.01%
,Minnesota,"Scott County, MN",2017,1835,0.01%
,Minnesota,"Scott County, MN",2018,1717,0.01%
,Minnesota,"Scott County, MN",2019,1691,0.01%
Total,Minnesota,"Scott County, MN",,7136,0.05%
,Minnesota,"Stearns County, MN",2016,2038,0.01%
,Minnesota,"Stearns County, MN",2017,2054,0.01%
,Minnesota,"Stearns County, MN",2018,2057,0.01%
,Minnesota,"Stearns County, MN",2019,1989,0.01%
Total,Minnesota,"Stearns County, MN",,8138,0.05%
,Minnesota,"Washington County, MN",2016,2898,0.02%
,Minnesota,"Washington County, MN",2017,2724,0.02%
,Minnesota,"Washington County, MN",2018,2732,0.02%
,Minnesota,"Washington County, MN",2019,2702,0.02%
Total,Minnesota,"Washington County, MN",,11056,0.07%
,Minnesota,"Wright County, MN",2016,1787,0.01%
,Minnesota,"Wright County, MN",2017,1706,0.01%
,Minnesota,"Wright County, MN",2018,1767,0.01%
,Minnesota,"Wright County, MN",2019,1687,0.01%
Total,Minnesota,"Wright County, MN",,6947,0.05%
,Minnesota,"Unidentified Counties, MN",2016,23295,0.15%
,Minnesota,"Unidentified Counties, MN",2017,22804,0.15%
,Minnesota,"Unidentified Counties, MN",2018,22480,0.15%
,Minnesota,"Unidentified Counties, MN",2019,22076,0.14%
Total,Minnesota,"Unidentified Counties, MN",,90655,0.59%
Total,Minnesota,,,271715,1.77%
,Mississippi,"DeSoto County, MS",2016,2191,0.01%
,Mississippi,"DeSoto County, MS",2017,2128,0.01%
,Mississippi,"DeSoto County, MS",2018,2139,0.01%
,Mississippi,"DeSoto County, MS",2019,2123,0.01%
Total,Mississippi,"DeSoto County, MS",,8581,0.06%
,Mississippi,"Harrison County, MS",2016,2790,0.02%
,Mississippi,"Harrison County, MS",2017,2673,0.02%
,Mississippi,"Harrison County, MS",2018,2662,0.02%
,Mississippi,"Harrison County, MS",2019,2649,0.02%
Total,Mississippi,"Harrison County, MS",,10774,0.07%
,Mississippi,"Hinds County, MS",2016,3123,0.02%
,Mississippi,"Hinds County, MS",2017,3126,0.02%
,Mississippi,"Hinds County, MS",2018,3041,0.02%
,Mississippi,"Hinds County, MS",2019,3028,0.02%
Total,Mississippi,"Hinds County, MS",,12318,0.08%
,Mississippi,"Jackson County, MS",2016,1651,0.01%
,Mississippi,"Jackson County, MS",2017,1661,0.01%
,Mississippi,"Jackson County, MS",2018,1606,0.01%
,Mississippi,"Jackson County, MS",2019,1574,0.01%
Total,Mississippi,"Jackson County, MS",,6492,0.04%
,Mississippi,"Rankin County, MS",2016,1802,0.01%
